event_date,venue,talk,link
2025-10-16,Momentum Dev Con,Get Unblocked Faster,
2025-11-11,Black Venture Capital Consortium Tech Track,Guest Lecturer,
2025-03-06,Girl Geek X,Get Unblocked Faster,https://youtu.be/ToKvCYp6jbA
2025-12-6,PyLadies Con,Let's Build a Cookbook in Python,https://www.youtube.com/watch?v=A_oU7d_H8oM
2025-09-26,CodeWord,Why a Dev Blog is Your Career's Secret Weapon,
2025-05-16,VirtualCoffee Lunch and Learn,Bend Bash to Your Will,
2025-04-24,Her Corporate Compass Podcast,Ask Questions Like a Journalist,https://open.spotify.com/episode/4rcnJlm4lva3m77UhUn7qc?go=1&sp_cid=99b00a7185890d4b12630888fb08d58a
2025-04-24,WGXC,Shell School,
2025-01-15,Attentive Women in Engineering (Internal),Training a RL Algo for the Math-Phobic,https://www.readwriterachel.com/presentations/2025/01/28/reinforcement-learning-for-math-phobic.html
2024-11-14,WGXC,Get Unblocked Faster,
2025-11-10,WGXC/PyDataDc,How to Get Started With Tech Talks (Panelist),https://www.youtube.com/watch?v=W5xnl49b0Gc
